"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Tarifario","1","0","Consulta de Hoteles Completa (Tags, Tarifas y Modales)","0"
"0","","0","Tarifario","1","0","Consulta de Excursiones Completa (Tarifas, Modales y Tooltips al final)","0"
"0","","1","Reservar Hoteles","0","0","Búsqueda, filtrado y reserva de hotel en Bariloche","0"
"0","","1","Tarifario","0","0","Consulta de Ofertas Completa (Modales y Tarifas)","0"
"0","","1","Reservar Servicios","0","0","Búsqueda, filtrado y reserva de excursión en Bariloche","0"
"0","","0","Login","1","0","Login de usuario Agencia (Prueba Negativa de Permisos)","0"
"0","","1","Ofertas","0","0","Nuevo flujo E2E: Búsqueda de Oferta a 7 días y validación de UI","0"
"0","","1","Multidestinos","0","0","Flujo completo de Reserva Multidestino (Triángulo Argentino)","0"
"0","","0","Login","1","0","Login de usuario Administrador","0"
"0","","1","Tarifario","0","0","Consulta de Cruceros Completa (Tarifas y Modales)","0"
"0","","0","Tarifario","1","0","Consulta de Traslados Completa (Capturas, Modales y Tooltips)","0"
"0","","0","Tarifario","1","0","Consulta de Cenashow Completa (Capturas, Modales y Tooltips)","0"
"0","","1","Tarifario","0","0","Consulta de Paquetes Completa (Tags, Tarifas y Modales)","0"
